          397         101
   0.2424400       5.000000       6514562.       20000.00    
   0.9381651      0.9386988      0.9392912      0.9398314      0.9403180    
   0.9408112      0.9413835      0.9419178      0.9423752      0.9428297    
   0.9433421      0.9438629      0.9443428      0.9448169      0.9452893    
   0.9457291      0.9462908      0.9468731      0.9473032      0.9476104    
   0.9478612      0.9479815      0.9482458      0.9487525      0.9493457    
   0.9497595      0.9501792      0.9506083      0.9510345      0.9514755    
   0.9519174      0.9523521      0.9527832      0.9532114      0.9536352    
   0.9540589      0.9544919      0.9549380      0.9553735      0.9556984    
   0.9557152      0.9574171      0.9788289      0.9830908      0.9858980    
   0.9878394      0.9894297      0.9908853      0.9923031      0.9937333    
   0.9951574      0.9965261      0.9977540      0.9988616      0.9998240    
    1.000579       1.001068       1.001264       1.001193       1.001003    
    1.000780       1.000625       1.000501       1.000390       1.000317    
    1.000235       1.000191       1.000131       1.000107       1.000069    
    1.000051       1.000031       1.000014       1.000004      0.9999936    
   0.9999857      0.9999798      0.9999738      0.9999743      0.9999678    
   0.9999678      0.9999679      0.9999679      0.9999745      0.9999740    
   0.9999796      0.9999851      0.9999930       1.000004       1.000014    
    1.000031       1.000051       1.000068       1.000107       1.000131    
    1.000191       1.000235       1.000316       1.000390       1.000502    
    1.000625       1.000782       1.001004       1.001182       1.001244    
    1.001022       1.000521      0.9997773      0.9988316      0.9977420    
   0.9965271      0.9951686      0.9937526      0.9923285      0.9909149    
   0.9894617      0.9878728      0.9859357      0.9831457      0.9789886    
   0.9623556      0.9586001      0.9590584      0.9589484      0.9584355    
   0.9579524      0.9575024      0.9571061      0.9567491      0.9564238    
   0.9561228      0.9558336      0.9555532      0.9552899      0.9550430    
   0.9548085      0.9545876      0.9543761      0.9541662      0.9539631    
   0.9537745      0.9535923      0.9534103      0.9532379      0.9530773    
   0.9529243      0.9527770      0.9526343      0.9524986      0.9523718    
   0.9522547      0.9521435      0.9520334      0.9519299      0.9518341    
   0.9517372      0.9516456      0.9515702      0.9514930      0.9514086    
   0.9513306      0.9512584      0.9511908      0.9511271      0.9510645    
   0.9509989      0.9509377      0.9508898      0.9508408      0.9507866    
   0.9507213      0.9506691      0.9506487      0.9506267      0.9505860    
   0.9505077      0.9504285      0.9503835      0.9503736      0.9503806    
   0.9503528      0.9503111      0.9502712      0.9502190      0.9501609    
   0.9500929      0.9500477      0.9500493      0.9500645      0.9500706    
   0.9500492      0.9500014      0.9499398      0.9499036      0.9499483    
   0.9499583      0.9499863      0.9500466      0.9501518      0.9502736    
   0.9505355      0.9508443      0.9508453      0.9506979      0.9510733    
   0.9513937      0.9513903      0.9512766      0.9514083      0.9519367    
   0.9527246      0.9529895      0.9529143      0.9532046      0.9537155    
   0.9544154      0.9552597      0.9560785      0.9565883      0.9567258    
   0.9575935      0.9585919      0.9590284      0.9595343      0.9603846    
   0.9611127      0.9617837      0.9625586      0.9632894      0.9641244    
   0.9648985      0.9656115      0.9664791      0.9671764      0.9678747    
   0.9686730      0.9694506      0.9703094      0.9712569      0.9722548    
   0.9732597      0.9741998      0.9753831      0.9768392      0.9783167    
   0.9797546      0.9811622      0.9825283      0.9838588      0.9851273    
   0.9863906      0.9876412      0.9888281      0.9899150      0.9909633    
   0.9919715      0.9928067      0.9934164      0.9937899      0.9939179    
   0.9937341      0.9933357      0.9926573      0.9917083      0.9905049    
   0.9890128      0.9870282      0.9847159      0.9824556      0.9798175    
   0.9767354      0.9732674      0.9694872      0.9659610      0.9626265    
   0.9589173      0.9550226      0.9515045      0.9481469      0.9446424    
   0.9411045      0.9376677      0.9343351      0.9310334      0.9275967    
   0.9250304      0.9236323      0.9225309      0.9215366      0.9207409    
   0.9198821      0.9187889      0.9168413      0.9142483      0.9115394    
   0.9086939      0.9067329      0.9058102      0.9042690      0.9031881    
   0.9021130      0.9001662      0.8990106      0.8986430      0.8980050    
   0.8968694      0.8958098      0.8947400      0.8941882      0.8937450    
   0.8934043      0.8937877      0.8934252      0.8935925      0.8925841    
   0.8937848      0.8979282      0.8964041      0.8919246      0.8878300    
   0.8909928      0.8937497      0.8947222      0.8947145      0.8950413    
   0.8958141      0.8965781      0.8970803      0.8974392      0.8982014    
   0.9000056      0.9023311      0.9042810      0.9058037      0.9068971    
   0.9073694      0.9075848      0.9082603      0.9093390      0.9108281    
   0.9122307      0.9133719      0.9144574      0.9155061      0.9165598    
   0.9174593      0.9181679      0.9188656      0.9187110      0.9184836    
   0.9191773      0.9205294      0.9217210      0.9222980      0.9224643    
   0.9228483      0.9232677      0.9237768      0.9245071      0.9252586    
   0.9258016      0.9262820      0.9269538      0.9276222      0.9282573    
   0.9281859      0.9281834      0.9287223      0.9296317      0.9306526    
   0.9312767      0.9316891      0.9318924      0.9316738      0.9318858    
   0.9322348      0.9327478      0.9332862      0.9337738      0.9343026    
   0.9348317      0.9352794      0.9356191      0.9360098      0.9366574    
   0.9374856      0.9381422      0.9385580      0.9389071      0.9390591    
   0.9391282      0.9392939      0.9395457      0.9398176      0.9400783    
   0.9403455      0.9406875      0.9410808      0.9415849      0.9421473    
   0.9426611      0.9431230      0.9435900      0.9441354      0.9446463    
   0.9450821      0.9455134      0.9460006      0.9464968      0.9469527    
   0.9474014      0.9478453      0.9482524      0.9487774      0.9493278    
   0.9497294      0.9500228      0.9502658      0.9503813      0.9506249    
   0.9510979      0.9516578      0.9520397      0.9524250      0.9528194    
   0.9532101      0.9536139      0.9540173      0.9544118      0.9548010    
   0.9551852      0.9555624      0.9559377      0.9563214      0.9567196    
   0.9571093      0.9573778      0.9573130      0.9591997      0.9788502    
   0.9830682      0.9858741      0.9878165      0.9894066      0.9908611    
   0.9922788      0.9937098      0.9951363      0.9965083      0.9977407    
   0.9988520      0.9998181       1.000577       1.001069       1.001266    
    1.001194       1.001003       1.000780       1.000625       1.000501    
    1.000390       1.000317       1.000235       1.000191       1.000131    
    1.000107       1.000069       1.000051       1.000031       1.000014    
    1.000004      0.9999937      0.9999859      0.9999799      0.9999740    
   0.9999743      0.9999677      0.9999677      0.9999678      0.9999678    
   0.9999745      0.9999738      0.9999795      0.9999850      0.9999931    
    1.000004       1.000014       1.000031       1.000051       1.000068    
    1.000107       1.000131       1.000191       1.000235       1.000316    
    1.000389       1.000502       1.000625       1.000783       1.001004    
    1.001179       1.001238       1.001003       1.000494      0.9997532    
   0.9988118      0.9977260      0.9965125      0.9951558      0.9937419    
   0.9923199      0.9909087      0.9894578      0.9878700      0.9859346    
   0.9831545      0.9790817      0.9647929      0.9611177      0.9615963    
   0.9615744      0.9610983      0.9606599      0.9602406      0.9598711    
   0.9595377      0.9592339      0.9589522      0.9586810      0.9584178    
   0.9581707      0.9579385      0.9577178      0.9575098      0.9573102    
   0.9571120      0.9569203      0.9567423      0.9565700      0.9563979    
   0.9562348      0.9560830      0.9559381      0.9557989      0.9556636    
   0.9555352      0.9554154      0.9553044      0.9551995      0.9550951    
   0.9549973      0.9549070      0.9548154      0.9547288      0.9546582    
   0.9545854      0.9545056      0.9544322      0.9543646      0.9543014    
   0.9542418      0.9541832      0.9541218      0.9540650      0.9540210    
   0.9539756      0.9539253      0.9538647      0.9538170      0.9537997    
   0.9537803      0.9537424      0.9536694      0.9535971      0.9535585    
   0.9535521      0.9535614      0.9535365      0.9534990      0.9534642    
   0.9534187      0.9533681      0.9533089      0.9532723      0.9532807    
   0.9533010      0.9533116      0.9532982      0.9532602      0.9532113    
   0.9531854      0.9532434      0.9532629      0.9533029      0.9533717    
   0.9534847      0.9536123      0.9538726      0.9541782      0.9541864    
   0.9540563      0.9544472      0.9547570      0.9547684      0.9546744    
   0.9548599      0.9553774      0.9561468      0.9563920      0.9563355    
   0.9566557      0.9571768      0.9578705      0.9586937      0.9594872    
   0.9599911      0.9601576      0.9610139      0.9619995      0.9624215    
   0.9629289      0.9637738      0.9644946      0.9651603      0.9659254    
   0.9666440      0.9674588      0.9682062      0.9688889      0.9697136    
   0.9703637      0.9710132      0.9717555      0.9724780      0.9732903    
   0.9742033      0.9751783      0.9761766      0.9771434      0.9783817    
   0.9799000      0.9814352      0.9829232      0.9843796      0.9857963    
   0.9871860      0.9885236      0.9898646      0.9911999      0.9924737    
   0.9936542      0.9948091      0.9959265      0.9968605      0.9975557    
   0.9980053      0.9982136      0.9980868      0.9977641      0.9971667    
   0.9963072      0.9952022      0.9938061      0.9919272      0.9897074    
   0.9875462      0.9850382      0.9820911      0.9787294      0.9750113    
   0.9715086      0.9682015      0.9645379      0.9606710      0.9571528    
   0.9538038      0.9503309      0.9468301      0.9434279      0.9401257    
   0.9368737      0.9334447      0.9308060      0.9293086      0.9281508    
   0.9271393      0.9263483      0.9255258      0.9244955      0.9226522    
   0.9201553      0.9175105      0.9146890      0.9126822      0.9116946    
   0.9101364      0.9090310      0.9079481      0.9059997      0.9048152    
   0.9043605      0.9036897      0.9025520      0.9014784      0.9003822    
   0.8997799      0.8993031      0.8988776      0.8992189      0.8988555    
   0.8989812      0.8979134      0.8990448      0.9030471      0.9016643    
   0.8973867      0.8932160      0.8961701      0.8988425      0.8998258    
   0.8997893      0.9000659      0.9007862      0.9015105      0.9019855    
   0.9023106      0.9030041      0.9046959      0.9069092      0.9087825    
   0.9102590      0.9113247      0.9118047      0.9120153      0.9126495    
   0.9136609      0.9150750      0.9164188      0.9175169      0.9185621    
   0.9195718      0.9205875      0.9214579      0.9221508      0.9228768    
   0.9227424      0.9225196      0.9231640      0.9244391      0.9255965    
   0.9261749      0.9263543      0.9267309      0.9271368      0.9276235    
   0.9283240      0.9290511      0.9295771      0.9300335      0.9306684    
   0.9313189      0.9319581      0.9319097      0.9319114      0.9324172    
   0.9332703      0.9342366      0.9348291      0.9352489      0.9354976    
   0.9352978      0.9355018      0.9358364      0.9363278      0.9368437    
   0.9373099      0.9378178      0.9383299      0.9387657      0.9390916    
   0.9394535      0.9400549      0.9408357      0.9414667      0.9418706    
   0.9422209      0.9423898      0.9424692      0.9426394      0.9428907    
   0.9431589      0.9434138      0.9436705      0.9439945      0.9443633    
   0.9448361      0.9453664      0.9458521      0.9462873      0.9467266    
   0.9472429      0.9477283      0.9481407      0.9485469      0.9490068    
   0.9494761      0.9499059      0.9503269      0.9507399      0.9511113    
   0.9515957      0.9521101      0.9524792      0.9527575      0.9529929    
   0.9531041      0.9533247      0.9537598      0.9542819      0.9546278    
   0.9549746      0.9553300      0.9556807      0.9560425      0.9564027    
   0.9567519      0.9570933      0.9574275      0.9577523      0.9580723    
   0.9583998      0.9587435      0.9590800      0.9592817      0.9591222    
   0.9612314      0.9788839      0.9830442      0.9858468      0.9877901    
   0.9893799      0.9908330      0.9922502      0.9936822      0.9951110    
   0.9964866      0.9977240      0.9988396      0.9998098       1.000572    
    1.001070       1.001267       1.001196       1.001002       1.000780    
    1.000625       1.000502       1.000390       1.000317       1.000235    
    1.000191       1.000131       1.000107       1.000069       1.000051    
    1.000031       1.000014       1.000004      0.9999937      0.9999861    
